asin,title,authors,percentageRead,resourceType,originType,mangaOrComicAsin,webReaderUrl,productUrl
B00BJ5ADLQ,Time of Contempt: Witcher 2 – Now a major Netflix show (The Witcher Book 8),"Sapkowski, Andrzej",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B00BJ5ADLQ,https://m.media-amazon.com/images/I/41A0dhkds-L._SY400_.jpg
B0043M66Z4,Blood of Elves: The bestselling novel which inspired season 2 of Netflix's The Witcher,"Sapkowski, Andrzej",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B0043M66Z4,https://m.media-amazon.com/images/I/41QaQi-e9hL._SY400_.jpg
B019CSNPV6,The Tower of the Swallow: Witcher 4 – Now a major Netflix show (The Witcher Book 6),"Sapkowski, Andrzej",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B019CSNPV6,https://m.media-amazon.com/images/I/41wtHq-32+L._SY400_.jpg
B00GFHFRSM,Baptism of Fire: Witcher 3 – Now a major Netflix show (The Witcher Book 5),"Sapkowski, Andrzej",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B00GFHFRSM,https://m.media-amazon.com/images/I/518VZg7+u7L._SY400_.jpg
B0043M6712,The Last Wish: The bestselling book which inspired season 1 of Netflix's The Witcher,"Sapkowski, Andrzej",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B0043M6712,https://m.media-amazon.com/images/I/41SSvuOFdxL._SY400_.jpg
B002RI9ZPY,The Girl Who Kicked the Hornets' Nest: The third unputdownable novel in the Dragon Tattoo series - 100 million copies sold worldwide (Millennium Series Book 3),"Larsson, Stieg",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B002RI9ZPY,https://m.media-amazon.com/images/I/51uKe8E2ONL._SY400_.jpg
B00AHQOPEO,The Hitchhiker's Guide to the Galaxy: Hitchhiker's Guide to the Galaxy Book 1,"Adams, Douglas",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B00AHQOPEO,https://m.media-amazon.com/images/I/41VrXQar-WL._SY400_.jpg
B07G17DR4X,"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation","Michaelides, Alex",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B07G17DR4X,https://m.media-amazon.com/images/I/51dK8jYPA1L._SY400_.jpg
B003BKZW7C,It: Film tie-in edition of Stephen King's IT,"King, Stephen",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B003BKZW7C,https://m.media-amazon.com/images/I/41zSCpNPKHL._SY400_.jpg
B015SZ2FNQ,The Middle Ages,"Bishop, Morris",0,EBOOK,PURCHASE,false,https://read.amazon.com/?asin=B015SZ2FNQ,https://m.media-amazon.com/images/I/51jkKqd9gaL._SY400_.jpg
